Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,916811,1228863,1487731,1536424,1586749,1638899,1693002,1749099,1807108,1866878,1928201,..
"Population, total",SP.POP.TOTL,Georgia,GEO,4802000,4418300,4398000,4388400,4383800,4410900,4452800,4483350,4490700,4487200,4504100,..
"Population, total",SP.POP.TOTL,Germany,DEU,79433029,82211508,82376451,82266372,82110097,81902307,81776930,81797673,80425823,80645605,80889505,..
"Population, total",SP.POP.TOTL,Ghana,GHA,14628260,18824994,21951891,22528041,23115919,23713164,24317734,24928503,25544565,26164432,26786598,..
"Population, total",SP.POP.TOTL,Greece,GRC,10156902,10917482,11127947,11163002,11186439,11187085,11153454,11123213,11092771,11027549,10957740,..
"Population, total",SP.POP.TOTL,Greenland,GRL,55600,56200,56774,56555,56328,56323,56905,56890,56810,56483,56295,..
"Population, total",SP.POP.TOTL,Grenada,GRD,96286,101620,103259,103587,103934,104298,104677,105070,105476,105902,106349,..
"Population, total",SP.POP.TOTL,Guam,GUM,130482,155328,158429,158332,158310,158621,159440,160858,162807,165121,167543,..
"Population, total",SP.POP.TOTL,Guatemala,GTM,9158547,11688660,13490041,13797629,14106687,14418033,14732261,15049280,15368759,15690793,16015494,..
"Population, total",SP.POP.TOTL,Guinea,GIN,6034082,8799165,9898301,10152521,10427356,10715770,11012406,11316351,11628767,11948726,12275527,..
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1056208,1315455,1494603,1527342,1561293,1596832,1634196,1673509,1714620,1757138,1800513,..
"Population, total",SP.POP.TOTL,Guyana,GUY,720282,742218,743705,745638,748096,750749,753362,755883,758410,761033,763893,..
"Population, total",SP.POP.TOTL,Haiti,HTI,7099733,8549202,9409479,9556958,9705130,9852953,9999617,10144890,10288828,10431249,10572029,..
"Population, total",SP.POP.TOTL,Honduras,HND,4903363,6243080,7007029,7133737,7259470,7383098,7503875,7621414,7736131,7849059,7961680,..
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,5704500,6665000,6857100,6916300,6957800,6972800,7024200,7071600,7154600,7187500,7241700,..
"Population, total",SP.POP.TOTL,Hungary,HUN,10373988,10210971,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9861673,..
"Population, total",SP.POP.TOTL,Iceland,ISL,254826,281205,303782,311566,317414,318499,318041,319014,320716,323764,327589,..
"Population, total",SP.POP.TOTL,India,IND,870601776,1053481072,1162088305,1179685631,1197070109,1214182182,1230984504,1247446011,1263589639,1279498874,1295291543,..
"Population, total",SP.POP.TOTL,Indonesia,IDN,181436821,211540428,229263980,232296830,235360765,238465165,241613126,244808254,248037853,251268276,254454778,..
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,56169196,65850062,70923164,71720859,72530693,73370982,74253373,75184322,76156975,77152445,78143644,..
"Population, total",SP.POP.TOTL,Iraq,IRQ,17478455,23574751,27716983,28423538,29163327,29970634,30868156,31810191,32780975,33781385,34812326,..
"Population, total",SP.POP.TOTL,Ireland,IRL,3513974,3805174,4273591,4398942,4489544,4535375,4560155,4576794,4586897,4598294,4612719,..
"Population, total",SP.POP.TOTL,Isle of Man,IMY,70312,76806,81110,81914,82737,83548,84327,85069,85779,86462,87127,..
"Population, total",SP.POP.TOTL,Israel,ISR,4660000,6289000,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215300,..
"Population, total",SP.POP.TOTL,Italy,ITA,56719240,56942108,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,61336387,..
"Population, total",SP.POP.TOTL,Jamaica,JAM,2390000,2589389,2653042,2662481,2671934,2681386,2690824,2699838,2707805,2714734,2721252,..
"Population, total",SP.POP.TOTL,Japan,JPN,123537000,126843000,127854000,128001000,128063000,128047000,128070000,127817277,127561489,127338621,127131800,..
"Population, total",SP.POP.TOTL,Jordan,JOR,3170000,4797000,5536000,5661000,5786000,5915000,6046000,6181000,6318000,6460000,6607000,..
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,16348000,14883626,15308084,15484192,15674000,16092701,16321581,16556600,16791425,17035275,17289111,..
"Population, total",SP.POP.TOTL,Kenya,KEN,23446229,31065820,36286015,37250540,38244442,39269988,40328313,41419954,42542978,43692881,44863583,..
"Population, total",SP.POP.TOTL,Kiribati,KIR,72411,84406,94257,96310,98437,100566,102648,104662,106620,108544,110470,..
"Population, total",SP.POP.TOTL,"Korea, Dem. Rep.",PRK,20194354,22840218,23969897,24111945,24243829,24371806,24500506,24631359,24763353,24895705,25026772,..
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,42869283,47008111,48371946,48597652,48948698,49182038,49410366,49779440,50004441,50219669,50423955,..
"Population, total",SP.POP.TOTL,Kosovo,KSV,1862000,1700000,1719536,1733404,1747383,1761474,1775680,1790957,1805200,1818117,1823149,..
"Population, total",SP.POP.TOTL,Kuwait,KWT,2058832,1929470,2389498,2538591,2705290,2881243,3059473,3239181,3419581,3593689,3753121,..
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,4391200,4898400,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5834200,..
"Population, total",SP.POP.TOTL,Lao PDR,LAO,4247839,5342879,5838837,5939634,6045439,6153153,6260544,6366909,6473050,6579985,6689300,..
"Population, total",SP.POP.TOTL,Latvia,LVA,2663151,2367550,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2012647,1990351,..
"Population, total",SP.POP.TOTL,Lebanon,LBN,2703019,3235380,4057041,4085426,4109389,4181742,4337156,4388637,4440728,4493438,4546774,..
"Population, total",SP.POP.TOTL,Lesotho,LSO,1597534,1856225,1940345,1955656,1972194,1990413,2010586,2032950,2057331,2083061,2109197,..
"Population, total",SP.POP.TOTL,Liberia,LBR,2102877,2891968,3384804,3522337,3672782,3821498,3957990,4079574,4190155,4293692,4396554,..
"Population, total",SP.POP.TOTL,Libya,LBY,4398419,5337264,5907149,6017794,6123022,6208680,6265697,6288652,6283403,6265987,6258984,..
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,28745,33282,35141,35431,35721,36004,36276,36537,36791,37040,37286,..
"Population, total",SP.POP.TOTL,Lithuania,LTU,3697838,3499536,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2957689,2929323,..
"Population, total",SP.POP.TOTL,Luxembourg,LUX,381850,436300,472637,479993,488650,497783,506953,518347,530946,543360,556074,..
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,359735,431907,479728,493022,507274,521405,534626,546682,557763,568056,577914,..
"Population, total",SP.POP.TOTL,"Macedonia, FYR",MKD,1996227,2012051,2047330,2051427,2055266,2058920,2062443,2065888,2069270,2072543,2075625,..
"Population, total",SP.POP.TOTL,Madagascar,MDG,11545782,15744811,18826129,19371031,19926798,20495706,21079532,21678867,22293720,22924557,23571713,..
"Population, total",SP.POP.TOTL,Malawi,MWI,9408998,11193230,13112383,13498377,13904671,14329056,14769824,15226813,15700436,16190126,16695253,..
"Population, total",SP.POP.TOTL,Malaysia,MYS,18211097,23420751,26263048,26730607,27197419,27661017,28119500,28572970,29021940,29465372,29901997,..
"Population, total",SP.POP.TOTL,Maldives,MDV,223179,280384,310168,315515,321026,326713,332575,338618,344817,351111,357415,..
"Population, total",SP.POP.TOTL,Mali,MLI,8482075,11046926,13309942,13759226,14223403,14694565,15167286,15639115,16112333,16592097,17086022,..
"Population, total",SP.POP.TOTL,Malta,MLT,354170,381363,405308,406724,409379,412477,414508,416268,419455,423374,427404,..
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,47300,52161,52080,52136,52221,52321,52428,52541,52663,52786,52898,..
"Population, total",SP.POP.TOTL,Mauritania,MRT,2023665,2711421,3241762,3328285,3414552,3501927,3591400,3683221,3777067,3872684,3969625,..
"Population, total",SP.POP.TOTL,Mauritius,MUS,1058775,1186873,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258653,1260934,..
"Population, total",SP.POP.TOTL,Mexico,MEX,85609404,102808590,111382857,113139374,114972821,116815612,118617542,120365271,122070963,123740109,125385833,..
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,96331,107430,105680,105080,104472,103961,103619,103476,103516,103718,104044,..
"Population, total",SP.POP.TOTL,Moldova,MDA,3696000,3639592,3585209,3576910,3570108,3565604,3562045,3559986,3559519,3558566,3556400,..
"Population, total",SP.POP.TOTL,Monaco,MCO,29438,32081,34384,35046,35731,36351,36845,37189,37404,37528,37623,..
"Population, total",SP.POP.TOTL,Mongolia,MNG,2184145,2397438,2558484,2592776,2629666,2669572,2712657,2759074,2808339,2859174,2909871,..
"Population, total",SP.POP.TOTL,Montenegro,MNE,608320,604950,615025,615875,616969,618294,619428,620079,620601,621207,621800,..
"Population, total",SP.POP.TOTL,Morocco,MAR,24950128,28950553,30691434,31011322,31350544,31714958,32107739,32531964,32984190,33452686,33921203,..
"Population, total",SP.POP.TOTL,Mozambique,MOZ,13371971,18264536,21737860,22359637,22994867,23647815,24321457,25016921,25732928,26467180,27216276,..
"Population, total",SP.POP.TOTL,Myanmar,MMR,42007309,47669791,50355559,50698814,51030006,51369725,51733013,52125411,52543841,52983829,53437159,..
"Population, total",SP.POP.TOTL,Namibia,NAM,1415447,1897953,2053915,2083174,2115703,2152357,2193643,2240161,2291645,2346592,2402858,..
"Population, total",SP.POP.TOTL,Nepal,NPL,18741688,23740145,25794344,26063619,26325183,26592666,26875910,27179237,27500515,27834981,28174724,..
"Population, total",SP.POP.TOTL,Netherlands,NLD,14951510,15925513,16346101,16381696,16445593,16530388,16615394,16693074,16754962,16804432,16854183,..
"Population, total",SP.POP.TOTL,New Caledonia,NCL,170899,213230,235314,238902,242546,246245,250000,254000,258000,262000,266000,..
"Population, total",SP.POP.TOTL,New Zealand,NZL,3329800,3857700,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4509700,..
